electoral_district_number,electoral_district_name,electoral_district_name_fr
35060,Mississauga--Erin Mills,Mississauga--Erin Mills
35061,Mississauga--Lakeshore,Mississauga--Lakeshore
35062,Mississauga--Malton,Mississauga--Malton
35063,Mississauga--Streetsville,Mississauga--Streetsville
35064,Nepean,Nepean
35065,Newmarket--Aurora,Newmarket--Aurora
35066,Niagara Centre,Niagara-Centre
35067,Niagara Falls,Niagara Falls
35068,Niagara West,Niagara-Ouest
35069,Nickel Belt,Nickel Belt
35070,Nipissing--Timiskaming,Nipissing--Timiskaming
35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud
35072,Oakville,Oakville
35073,Oakville North--Burlington,Oakville-Nord--Burlington
35074,Oshawa,Oshawa
35075,Ottawa Centre,Ottawa-Centre
35076,Orléans,Orléans
35077,Ottawa South,Ottawa-Sud
35078,Ottawa--Vanier,Ottawa--Vanier
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean
35080,Oxford,Oxford
35081,Parkdale--High Park,Parkdale--High Park
35082,Parry Sound--Muskoka,Parry Sound--Muskoka
35083,Perth--Wellington,Perth--Wellington
35084,Peterborough--Kawartha,Peterborough--Kawartha
35085,Pickering--Uxbridge,Pickering--Uxbridge
